City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
113,Erenhot,CN,43.6475,111.9767,41.9,28,20,10.0,few clouds
114,Hauge,NO,58.3436,6.2812,47.7,81,1,10.04,clear sky
115,Victoria,HK,22.2855,114.1577,71.33,58,99,15.99,overcast clouds
116,Millinocket,US,45.6573,-68.7098,60.91,100,100,8.05,overcast clouds
117,Buchanan,LR,5.8808,-10.0467,77.41,87,98,5.99,overcast clouds
118,Shenjiamen,CN,29.9576,122.298,61.68,60,0,17.47,clear sky
119,Berkakit,RU,56.5807,124.7681,7.97,97,100,2.75,overcast clouds
120,Maldonado,UY,-34.6667,-54.9167,63.79,83,100,12.86,overcast clouds
121,Bocana De Paiwas,NI,12.7857,-85.1227,83.21,78,87,1.28,overcast clouds
122,Denpasar,ID,-8.65,115.2167,74.86,100,40,2.3,scattered clouds
123,Uvalde,US,29.3669,-99.767,71.31,32,40,0.0,scattered clouds
124,Panaba,MX,21.2833,-88.2667,80.44,83,100,10.18,light rain
125,Clyde River,CA,70.4692,-68.5914,21.43,79,100,11.5,overcast clouds
126,Fairbanks,US,64.8378,-147.7164,42.93,84,0,0.0,clear sky
127,Ribeira Grande,PT,38.5167,-28.7,61.77,63,100,8.01,overcast clouds
128,Thai Binh,VN,20.45,106.3333,69.89,48,100,9.84,overcast clouds
129,San Cristobal,VE,7.7669,-72.225,75.38,94,94,2.04,overcast clouds
130,Butaritari,KI,3.0707,172.7902,81.66,75,86,17.67,overcast clouds
131,Tromso,NO,69.6496,18.957,39.22,87,100,6.91,overcast clouds
132,Umm Kaddadah,SD,13.6017,26.6876,84.38,22,9,12.82,clear sky
133,Sitka,US,57.0531,-135.33,55.26,91,100,8.68,moderate rain
134,Klaksvik,FO,62.2266,-6.589,40.12,68,95,8.75,overcast clouds
135,Mana,GF,5.6592,-53.7767,80.51,82,91,10.92,overcast clouds
136,Geraldton,AU,-28.7667,114.6,50.41,87,0,10.36,clear sky
137,Glenwood Springs,US,39.5505,-107.3248,71.06,14,0,0.0,clear sky
138,Mitchell,US,43.7094,-98.0298,43.74,21,4,1.01,clear sky
139,Kawalu,ID,-7.3817,108.2082,71.33,97,99,1.43,overcast clouds
140,Chuy,UY,-33.6971,-53.4616,60.71,85,98,14.14,overcast clouds
141,Chabahar,IR,25.2919,60.643,79.43,72,17,3.65,few clouds
142,Emerald,AU,-23.5333,148.1667,71.74,100,100,11.5,overcast clouds
143,Kunming,CN,25.0389,102.7183,40.93,87,0,2.24,clear sky
144,Cantagalo,BR,-21.9811,-42.3681,69.8,84,85,5.14,overcast clouds
145,Mar Del Plata,AR,-38.0023,-57.5575,60.82,88,0,19.57,clear sky
146,Vao,NC,-22.6667,167.4833,71.91,66,99,12.95,overcast clouds
147,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,61,100,17.9,overcast clouds
148,Rio Gallegos,AR,-51.6226,-69.2181,60.85,33,75,23.02,broken clouds
149,Upernavik,GL,72.7868,-56.1549,28.89,71,100,15.84,overcast clouds
150,Ottawa,CA,45.4112,-75.6981,48.04,73,75,6.91,broken clouds
151,Pangnirtung,CA,66.1451,-65.7125,24.8,63,75,6.91,broken clouds
152,Nouadhibou,MR,20.931,-17.0347,84.18,37,33,24.16,sand
153,Hasaki,JP,35.7333,140.8333,56.21,64,100,20.33,overcast clouds
154,Port Hardy,CA,50.6996,-127.4199,66.38,63,75,9.22,broken clouds
155,San Pedro,PH,14.35,121.0167,77.32,93,75,3.44,broken clouds
156,Evensk,RU,61.95,159.2333,19.98,80,91,22.53,overcast clouds
157,Kodiak,US,57.79,-152.4072,44.35,90,100,24.2,light rain
158,Esna,EG,25.2934,32.554,77.02,30,0,13.6,clear sky
159,Hohhot,CN,40.8106,111.6522,28.69,54,0,2.24,clear sky
160,Marawi,PH,7.9986,124.2928,70.23,93,100,2.64,overcast clouds
161,Port Lincoln,AU,-34.7333,135.8667,61.41,78,1,12.19,clear sky
162,Cidreira,BR,-30.1811,-50.2056,65.01,94,100,17.63,overcast clouds
163,Kapaa,US,22.0752,-159.319,83.19,72,0,6.91,clear sky
164,Riyadh,SA,24.6877,46.7219,75.34,15,79,2.19,broken clouds
165,Aldan,RU,58.6031,125.3894,19.85,87,97,7.11,overcast clouds
166,Tulcea,RO,45.1667,28.8,46.44,82,0,1.14,clear sky
167,Ancud,CL,-41.8697,-73.8203,54.07,77,61,5.7,broken clouds
168,Ilulissat,GL,69.2167,-51.1,33.17,99,100,6.02,light snow
169,Amurzet,RU,47.6967,131.0981,32.13,54,1,8.16,clear sky
170,Teya,RU,60.3778,92.6267,31.35,93,99,2.15,overcast clouds
171,Nueva Loja,EC,0.0847,-76.8828,78.82,83,75,3.44,broken clouds
172,Atar,MR,20.5169,-13.0499,91.17,12,99,8.61,overcast clouds
173,Dodge City,US,37.7528,-100.0171,60.24,20,0,4.61,clear sky
174,San Patricio,US,28.017,-97.5169,72.32,27,100,8.7,overcast clouds
175,Vardo,NO,70.3705,31.1107,37.38,93,75,16.11,broken clouds
176,Seoul,KR,37.5683,126.9778,40.44,90,0,3.44,clear sky
177,Dandong,CN,40.1292,124.3947,36.81,59,0,3.67,clear sky
178,Tupiza,BO,-21.45,-65.7167,70.66,3,0,21.92,clear sky
179,Cravo Norte,CO,6.3017,-70.2041,83.59,74,69,0.83,broken clouds
180,Theodoriana,GR,39.4356,21.21,49.46,55,0,6.76,clear sky
181,Dickinson,US,29.4608,-95.0513,70.16,31,0,18.41,clear sky
182,Tiksi,RU,71.6872,128.8694,8.96,92,100,7.25,overcast clouds
183,Atambua,ID,-9.1061,124.8925,76.68,81,85,2.08,overcast clouds
184,Beringovskiy,RU,63.05,179.3167,38.66,92,100,35.9,moderate rain
185,Berlevag,NO,70.8578,29.0864,39.2,87,75,19.57,broken clouds
186,High Level,CA,58.5169,-117.136,64.51,39,75,5.75,broken clouds
187,Bengkulu,ID,-3.8004,102.2655,74.28,90,100,4.05,light rain
188,Labuhan,ID,-6.8844,112.2051,77.63,87,100,6.96,moderate rain
189,Baykit,RU,61.67,96.37,31.64,86,98,5.77,overcast clouds
190,Nicoya,CR,10.1483,-85.452,80.33,84,100,1.86,moderate rain
191,Shimoda,JP,34.6667,138.95,56.1,86,100,16.69,overcast clouds
192,Klyuchi,RU,52.2667,79.1667,38.32,83,96,7.14,overcast clouds
193,Clemencia,CO,10.5665,-75.325,85.37,82,55,6.85,light rain
194,Mouila,GA,-1.8685,11.0559,73.67,98,100,2.53,moderate rain
195,Saint George,US,37.1041,-113.5841,84.94,20,0,5.75,clear sky
196,Bandarbeyla,SO,9.4942,50.8122,77.94,82,13,8.1,few clouds
197,Ponta Delgada,PT,37.7333,-25.6667,63.32,59,20,19.57,few clouds
198,Fria,GN,10.4167,-13.5833,78.22,95,64,0.98,light rain
199,Orbetello,IT,42.4408,11.2196,62.62,79,0,5.82,clear sky
200,Puerto Ayora,EC,-0.7393,-90.3518,75.16,83,51,5.01,broken clouds
201,Terre Haute,US,39.4667,-87.4139,49.23,51,46,1.99,scattered clouds
202,Bonthe,SL,7.5264,-12.505,77.92,87,88,4.34,overcast clouds
203,Kalagarh,IN,29.5,78.75,65.73,80,0,3.36,clear sky
204,Orissaare,EE,58.5592,23.0826,46.94,75,99,15.95,overcast clouds
205,Pisco,PE,-13.7,-76.2167,64.45,72,20,11.5,few clouds
206,Boysun,UZ,38.2061,67.1986,53.6,72,100,3.22,overcast clouds
207,Basco,PH,20.4487,121.9702,78.46,85,100,36.33,overcast clouds
208,Lavrentiya,RU,65.5833,-171.0,27.3,75,11,1.66,few clouds
209,Maniitsoq,GL,65.4167,-52.9,36.73,98,100,23.6,moderate rain
210,Roebourne,AU,-20.7833,117.1333,71.67,62,0,5.26,clear sky
