City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
179,Okhotsk,RU,2022-10-15 16:58:17,59.3833,143.3,28.29,59,19,8.93
180,Uvira,CD,2022-10-15 16:58:18,-3.4067,29.1458,79.45,52,56,5.35
181,Bambous Virieux,MU,2022-10-15 16:58:18,-20.3428,57.7575,71.85,68,40,6.91
182,Kollo,NE,2022-10-15 16:59:19,13.3043,2.339,99.03,26,80,1.83
183,Dabat,ET,2022-10-15 16:59:19,12.9842,37.765,57.0,78,98,2.71
184,Saint George,US,2022-10-15 16:59:20,37.1041,-113.5841,76.95,17,0,2.84
185,Cidreira,BR,2022-10-15 16:59:20,-30.1811,-50.2056,63.86,78,100,16.71
186,Kamina,CD,2022-10-15 16:59:21,-8.7386,24.9906,77.86,20,88,4.25
187,Gizo,SB,2022-10-15 16:59:21,-8.103,156.8419,81.46,73,45,3.67
188,Cayenne,GF,2022-10-15 16:59:22,4.9333,-52.3333,89.64,58,20,12.66
189,Gorizia,IT,2022-10-15 16:59:22,45.9167,13.5,65.77,81,96,2.3
190,Beringovskiy,RU,2022-10-15 16:59:22,63.05,179.3167,31.64,79,100,11.39
191,Kenora,CA,2022-10-15 16:59:23,49.8167,-94.4337,40.17,93,100,10.36
192,Codrington,AU,2022-10-15 16:59:23,-38.2667,141.9667,44.29,95,27,5.5
193,Muros,ES,2022-10-15 16:59:23,42.7762,-9.0603,65.08,91,98,13.33
194,La Ronge,CA,2022-10-15 16:59:24,55.1001,-105.2842,35.85,51,100,17.27
195,Snezhnogorsk,RU,2022-10-15 16:59:24,69.1933,33.2531,42.58,85,62,8.01
196,Longyearbyen,SJ,2022-10-15 16:59:24,78.2186,15.6401,19.24,73,0,8.05
197,Orizona,BR,2022-10-15 16:59:25,-17.0314,-48.2958,92.93,17,38,10.96
198,Rundu,NA,2022-10-15 16:59:25,-17.9333,19.7667,84.76,13,79,5.32
199,Gairo,IT,2022-10-15 16:59:26,39.8497,9.5047,62.44,72,23,1.9
200,Patea,NZ,2022-10-15 16:59:26,-39.7583,174.4833,47.07,90,99,2.62
201,Faanui,PF,2022-10-15 16:59:26,-16.4833,-151.75,78.73,76,16,13.09
202,Sinop,TR,2022-10-15 16:59:27,41.7711,34.8709,53.1,93,100,2.21
203,Rabo De Peixe,PT,2022-10-15 16:59:27,37.8,-25.5833,69.31,64,40,14.97
204,Phalombe,MW,2022-10-15 16:59:27,-15.8064,35.6507,82.78,23,59,2.53
205,Adet,ET,2022-10-15 16:59:28,11.2644,37.4888,56.61,84,52,4.56
206,Olafsvik,IS,2022-10-15 16:59:28,64.8945,-23.7142,38.61,75,67,35.37
207,Alugan,PH,2022-10-15 16:59:28,12.2188,125.4808,79.38,87,20,7.29
208,Merauke,ID,2022-10-15 16:59:29,-8.4667,140.3333,78.26,91,100,11.86
209,Bijar,IR,2022-10-15 16:59:29,35.8668,47.6051,60.3,25,93,6.69
210,Sernur,RU,2022-10-15 16:59:29,56.9333,49.1536,36.9,83,30,6.08
