City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
318,Axim,GH,77.65,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
324,Piacabucu,BR,76.62,few clouds,-10.4056,-36.4344,Piaçabuçu News
325,Pacific Grove,US,85.33,scattered clouds,36.6177,-121.9166,Lovers Point Inn
327,Tomatlan,MX,85.95,scattered clouds,19.9333,-105.25,El Salvial
328,Honiara,SB,84.43,broken clouds,-9.4333,159.95,Heritage Park Hotel
335,Bima,ID,78.62,overcast clouds,-8.4667,118.7167,Lambitu Hotel
341,Gwadar,PK,79.34,broken clouds,25.1216,62.3254,Sadaf Resort
343,Cassilandia,BR,75.76,overcast clouds,-19.1133,-51.7342,Delirius Motel
349,Klaeng,TH,81.95,overcast clouds,12.7797,101.6483,สวัสดีการ์เดนท์รีสอร์ท
352,Anloga,GH,79.65,broken clouds,5.7947,0.8973,Pin Drop Hotel
355,Sampang,ID,79.29,overcast clouds,-7.1872,113.2394,sekretariat IKA STAIN
356,Kirkuk,IQ,80.64,clear sky,35.4681,44.3922,Cihad Oteli
359,Serra Talhada,BR,82.94,broken clouds,-7.9919,-38.2983,Pousada São Luiz
361,Luanda,AO,77.0,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
366,Kavieng,PG,83.7,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
368,Ughelli,NG,76.14,overcast clouds,5.4899,6.0074,Prestige Hotel
374,Kahului,US,86.97,clear sky,20.8947,-156.47,Maui Seaside Hotel
376,Sao Filipe,CV,81.19,scattered clouds,14.8961,-24.4956,Hotel Xaguate
380,Biltine,TD,82.74,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
382,Winnemucca,US,76.39,overcast clouds,40.973,-117.7357,Winners Inn Casino
383,Lorengau,PG,83.89,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
387,Vanimo,PG,77.5,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
389,Lubao,PH,78.51,light rain,14.9167,120.55,Hacienda Gracia
391,Nabire,ID,75.27,light rain,-3.3667,135.4833,Hotel Nusantara I
394,Sao Gabriel Da Cachoeira,BR,78.64,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
397,Trelew,AR,79.25,clear sky,-43.249,-65.3051,Hotel Touring Club
398,Port-Gentil,GA,78.76,scattered clouds,-0.7193,8.7815,Fengshui Residence
401,Gigmoto,PH,78.87,light rain,13.7796,124.39,Cj's Travellers Inn
408,Champerico,GT,81.61,light rain,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
410,Tabou,CI,77.25,broken clouds,4.423,-7.3528,hotêl doufoulougou
414,Bafoulabe,ML,81.5,scattered clouds,13.8065,-10.8321,Logement du Chargé SIS Abdoul Karim Konaté
422,Iquitos,PE,79.99,overcast clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
429,Uchiza,PE,77.68,overcast clouds,-8.4592,-76.4633,Hotel San Pedro
430,Ourossogui,SN,87.01,scattered clouds,15.6064,-13.3211,Hotel welma
438,Cayenne,GF,82.44,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
442,Spring Valley,US,86.29,few clouds,36.108,-115.245,Westgate Flamingo Bay Resort
447,Kutum,SD,75.07,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
449,Tucupita,VE,77.2,broken clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
450,Lahaina,US,85.95,clear sky,20.8783,-156.6825,Lahaina Shores Beach Resort
451,Pouembout,NC,81.55,broken clouds,-21.1333,164.9,Camping de Tipenga
454,Harper,LR,77.4,overcast clouds,4.375,-7.7169,Screensaver
458,Sunrise Manor,US,88.21,clear sky,36.2111,-115.0731,Comfort Inn & Suites Las Vegas - Nellis
462,Pijijiapan,MX,79.11,light rain,15.7011,-93.23,Hotel Rosita
463,Road Town,VG,82.89,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
468,Senanga,ZM,76.08,overcast clouds,-16.1167,23.2667,Zango lodge
469,Azare,NG,79.75,broken clouds,11.6765,10.1948,Mallam Ayuba Compound
